"artist";"title"
"The Black Keys";"Howlin' For You"
"Eels";"Today Is The Day"
"Fatboy Slim";"Praise You"
"Triggerfinger";"Perfect Match"
"David Bowie";"Golden Years"
"Caetano Veloso";"Come As You Are"
"Warmduscher";"Disco Peanuts"
"Nick Lowe";"I Knew The Bride"
"Death In Vegas";"Scorpio Rising (Feat. Liam Gallagher)"
"Hole";"Doll Parts"
"Everything Everything";"Regret"
"T.rex";"Telegram Sam"
"The Dandy Warhols";"Bohemian Like You"
"Jeanne Added";"Mutate"
"Patti Smith";"People Have The Power"
"Sufjan Stevens";"Chicago"
"John Butler Trio";"Home"
"Beastie Boys";"(You Gotta) Fight For Your Right (To Party !)"
"Lana Del Rey";"Blue Jeans"
"The Kinks";"Stop Your Sobbing"
"Tindersticks";"Trouble Every Day"
"The Raconteurs";"Help Me Stranger"
"The Chemical Brothers";"Block Rockin' Beats"
"Metronomy";"The Look"
"Stereophonics";"Fly Like An Eagle"
"Suede";"Electricity"
"Findlay";"Electric Bones"
"The Pretenders";"Brass In Pocket"
"Cake";"Short Skirt / Long Jacket"
"The Regrettes";"I Dare You"
"The Smashing Pumpkins";"Ava Adore"
"Mark Ronson";"Just (Feat. Alex Greenwald)"
"Interpol";"The Rover"
"Babybird";"You're Gorgeous"
"David Bowie";"The Stars (Are Out Tonight)"
"Blondie";"Call Me"
"Them Crooked Vultures";"New Fang"
"Arctic Monkeys";"Four Out Of Five"
"The Stranglers";"Always The Sun"
"Editors";"Munich"
"Softer Still";"A Sadder Sound"
"Tears For Fears";"Shout"
"The Vaccines";"Dream Lover"
"Joe Jackson";"Is She Really Going Out With Him"
"The Shins";"Australia"
"Cass Mccombs";"The Great Pixley Train Robbery"
"The Mike Flowers Pops";"Wonderwall"
"Arcade Fire";"No Cars Go"
"Sleater-Kinney";"Can I Go On"
"Lloyd Cole & The Commotions";"Lost Weekend"
"Pixies";"Greens And Blues"
"The Rolling Stones";"Out Of Time"
"Stuck In The Sound";"Toy Boy"
"Biche";"Kepler, Kepler"
"Jeff Buckley";"Hallelujah"
"Beck";"E-Pro"
"Brittany Howard";"History Repeats"
"New Order";"Blue Monday"
"Electric Guest";"This Head I Hold"
"Two Door Cinema Club";"What You Know"
"Franz Ferdinand";"Paper Cages"
